PST_PT_C,SPOT_NUM,PST_SEV_CD,PST_SEV_DS,PST_SPC_CD,PST_CMN_NM,PST_LTN_NM,PST_CM_CD,PST_CM_DSC,CPTR_YR,NUM_TREES,AREA_HA,ORG_UNITNO,TR_SPCS_CD,TR_CM_NM,COMMENTS,GEOMETRY,OBJECTID,X,Y
2497,305072021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,SX,spruce hybrid,,,1628645,-125.06250976605317,52.12276614017437
2498,305082021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,52,FD,Douglas-fir,,,1628646,-124.28533753533877,52.11391352287636
2499,305102021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,52,FD,Douglas-fir,,,1628648,-121.78606769852696,52.04980101910553
2500,305122021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,FD,Douglas-fir,,,1628650,-121.47965162101512,52.03868465375365
2501,305132021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,FD,Douglas-fir,,,1628651,-123.1149106316356,52.09127471830961
2502,305152021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,52,FD,Douglas-fir,,,1628653,-121.48698494490051,52.03935895283704
2503,305172021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,52,FD,Douglas-fir,,,1628655,-121.68324588870564,52.04848874742274
2504,305192021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,56,FD,Douglas-fir,,,1628657,-120.80822756398382,52.01265781848954
2505,305202021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,56,FD,Douglas-fir,,,1628658,-121.34010034308673,52.03593426727182
2506,305222021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,52,FD,Douglas-fir,,,1628660,-123.2008984721178,52.09766925797067
2507,335012021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,30,BL,subalpine fir,,,1631639,-123.91078502843615,53.75631384459541
